상호명,센터구분,시도명,시군구명,소재지도로명주소,소재지지번주소,신고구분,전화번호,운영기관명,기부물품명,대표자명,총직원수,데이터기준일자,제공기관코드,제공기관명
대전행복나눔무지개푸드마켓6호점,푸드마켓,대전광역시,유성구,대전광역시 유성구 유성대로730번길 51(장대동),대전광역시 유성구 장대동 282-15,당연신고,042-826-6377,대전가톨릭사회복지회,가공식품+신선식품,노승환,2,2024-08-13,3670000,대전광역시 유성구
대전가톨릭농수산물지원센터,푸드뱅크,대전광역시,유성구,대전광역시 유성구 노은동로 33 노은농수산물시장내,대전광역시 유성구 노은동 566 농수산물도매시장,당연신고,042-822-7986,대전가톨릭사회복지회,가공식품+신선식품,윤여창,1,2024-08-13,3670000,대전광역시 유성구
아산시기초푸드뱅크,푸드뱅크,충청남도,아산시,충청남도 아산시 염치읍 송곡안길 2-23,,당연신고,041-534-1377,구세군유지재단법인,가공식품+신선식품,유계준,,2024-08-01,4520000,충청남도 아산시
영광군푸드뱅크,푸드뱅크,전라남도,영광군,"전라남도 영광군 영광읍 옥당로 149, 402호",,당연신고,080-353-1377,사회복지법인 난원,"가공식품, 신선식품 등",김경옥,1,2024-08-09,4970000,전라남도 영광군
영광군푸드마켓,푸드마켓,전라남도,영광군,전라남도 영광군 영광읍 천년로 1351-14,,임의신고,080-353-1377,사회복지법인 난원,"가공식품, 신선식품 등",김경옥,1,2024-08-09,4970000,전라남도 영광군
사상구푸드마켓,푸드마켓,부산광역시,사상구,부산광역시 사상구 동주로 6-9(주례동),부산광역시 사상구 주례동 1233-22,당연신고,051-325-1399,백양종합사회복지관,가공식품+신선식품,이혜정,1,2024-08-12,3390000,부산광역시 사상구
사상구푸드뱅크,푸드뱅크,부산광역시,사상구,부산광역시 사상구 모라로 192번길 20-33(모라동),"부산광역시 사상구 모라3동 75, 모라주공아파트",임의신고,051-305-4286,백양종합사회복지관,가공식품+신선식품,이혜정,1,2024-08-12,3390000,부산광역시 사상구
금정구푸드마켓,푸드마켓,부산광역시,금정구,부산광역시 금정구 중앙대로 1992,부산광역시 금정구 남산동 42-5,,,사회복지법인선양,,,,2024-08-11,3350000,부산광역시 금정구
금정구푸드뱅크,푸드뱅크,부산광역시,금정구,부산광역시 금정구 중앙대로2349번길 3,부산광역시 금정구 노포동 산15-12,,,남광종합사회복지관,,,,2024-08-11,3350000,부산광역시 금정구
김해시푸드마켓,푸드마켓,경상남도,김해시,경상남도 김해시 김해대로 2232,경상남도 김해시 외동 1234,당연신고,055-328-1377,김해시종합사회복지관,식료품+생필품,김희년,7,2024-08-01,5350000,경상남도 김해시
김해이웃사랑푸드뱅크,푸드뱅크,경상남도,김해시,경상남도 분성로376번길 21-10,경상남도 김해시 부원동 27-2,당연신고,055-324-4179,희망모자원,식료품+ 생필품,송혁,3,2024-08-01,5350000,경상남도 김해시
김해시나누미푸드뱅크,푸드뱅크,경상남도,김해시,"경상남도 김해시 분성로14, 125호","경상남도 김해시 외동 883, 125호",임의신고,055-311-9745,초록나눔사회적협동조합,식료품 +생필품,김애숙,1,2024-08-01,5350000,경상남도 김해시
진안군기초푸드뱅크,푸드뱅크,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 거북바위로 3길 30,,임의신고,063-432-9005,진안지역자활센터,식품,,,2024-11-20,4731000,전북특별자치도 진안군
진안군기초푸드마켓,푸드마켓,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 관산2길 10,,임의신고,063-433-1410,진안군사회복지협의회,식품 및 생필품,,,2024-11-20,4731000,전북특별자치도 진안군
남해군푸드뱅크,푸드뱅크,경상남도,남해군,경상남도 남해군 남해읍 망운로 32,경상남도 남해군 남해읍 서변리 24-1,임의신고,055-860-3886,남해군,가공식품+신선식품,장충남,1,2024-10-11,5430000,경상남도 남해군
이천시 푸드뱅크,푸드뱅크,경기도,이천시,"경기도 이천시 부발읍 신원로 18, 3층",,,031-634-1377,이천시 푸드뱅크,,,,2024-09-26,4070000,경기도 이천시
이천시선양 푸드뱅크,푸드뱅크,경기도,이천시,경기도 이천시 경충대로 2602(중리동),,,031-637-1377,사회적협동조합 선양사회복지센터,,,,2024-09-26,4070000,경기도 이천시
사랑나눔 이천푸드마켓,푸드뱅크,경기도,이천시,경기도 이천시 경충대로2638번길 35,,,031-638-1375,대한적십자 이천지구협의회,,,,2024-09-26,4070000,경기도 이천시
웃어라나눔과기쁨 푸드뱅크,푸드뱅크,경기도,이천시,경기도 이천시 서희로71번길 14,,,031-632-6066,(사)나눔과기쁨,,,,2024-09-26,4070000,경기도 이천시
소망더함 푸드뱅크,푸드뱅크,경기도,이천시,경기도 이천시 마장면 서이천로 105-6,,,031-631-1377,예수소망교회,,,,2024-09-26,4070000,경기도 이천시
단양군기초푸드뱅크,푸드뱅크,충청북도,단양군,"충청북도 단양군 단양읍 수변로 83, 3층",충청북도 단양군 단양읍 도전리 632,임의신고,043-422-1700,단양군사회복지협의회,생활필수품,김종학,1,2024-08-20,4480000,충청북도 단양군
단양군기초푸드마켓,푸드마켓,충청북도 ,단양군,충청북도 단양군 단양읍 중앙1로 29,충청북도 단양군 단양읍 별곡리 307,임의신고,043-422-1700,단양군사회복지협의회,생활필수품,김종학,1,2024-08-20,4480000,충청북도 단양군
단양나눔과기쁨푸드뱅크,푸드뱅크,충청북도 ,단양군,충청북도 단양군 대강면 장림1길 6,충청북도 단양군 대강면 장림리 149-2,임의신고,043-421-3191,기독교대한성결교회,생활필수품,함기용,1,2024-08-20,4480000,충청북도 단양군
서구푸드뱅크,푸드뱅크,인천광역시,서구,인천광역시 서구 신석로121번길 10,,당연신고,032-574-1377,서구노인복지관,가공식품+생활물품,정서연,1,2024-08-09,3560000,인천광역시 서구
서구태화푸드뱅크,푸드뱅크,인천광역시,서구,인천광역시 서구 심곡로124번길 10,,당연신고,032-564-1377,기독교종합사회복지관,가공식품+생활물품,은신애,1,2024-08-09,3560000,인천광역시 서구
서구푸드마켓1호점,푸드마켓,인천광역시,서구,인천광역시 서구 간촌로 35-12,,당연신고,032-576-1377,서인천제일교회,가공식품+생활물품,이두형,2,2024-08-09,3560000,인천광역시 서구
서구푸드마켓2호점,푸드마켓,인천광역시,서구,인천광역시 서구 거북로 124,,당연신고,032-584-1377,인천대은교회,가공식품+생활물품,전명구,2,2024-08-09,3560000,인천광역시 서구
대청기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 상당구 문의면 두모1길 13-2,충청북도 청주시 상당구 문의면 두모리 167-4,당연신고,043-221-7838,대한예수교장로회대청교회,식품및생활용품,이태순,1,2024-12-16,5710000,충청북도 청주시
청원기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 청원구 내수읍 내수로 737,충청북도 청주시 청원구 내수읍 내수리 46-18,당연신고,043-218-1377,청원기초푸드뱅크,식품및생활용품,김도경,1,2024-12-16,5710000,충청북도 청주시
구세군기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 상당구 쇠내로145번길 15,충청북도 청주시 상당구 금천동 77-7,당연신고,043-254-1377,구세군청주복지센터,식품및생활용품,이상혁,1,2024-12-16,5710000,충청북도 청주시
드림기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 청원구 상리로17번길 27-40,충청북도 청주시 청원구 율량동 86-16,당연신고,043-218-7991,기독교대한감리회유지재단,식품및생활용품,문영길,1,2024-12-16,5710000,충청북도 청주시
청주사랑나눔기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 흥덕구 강서로71번길 20-3,충청북도 청주시 흥덕구 강서동 66,당연신고,043-266-1377,청주사랑나눔기초푸드뱅크,식품및생활용품,조경옥,1,2024-12-16,5710000,충청북도 청주시
청주시푸드마켓,푸드마켓,충청북도,청주시,충청북도 청주시 상당구 남사로 83번길 35,충청북도 청주시 상당구 서문동 198-3,임의신고,043-222-9171,청주시사회복지협의회,식품및생활용품,이수행,1,2024-12-16,5710000,충청북도 청주시
흥덕기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 흥덕구 무심서로 665,충청북도 청주시 흥덕구 운천동 1486,임의신고,043-267-1377,청주시사회복지협의회,식품및생활용품,이수행,1,2024-12-16,5710000,충청북도 청주시
제일기초푸드뱅크,푸드뱅크,충청북도,청주시,충청북도 청주시 상당구 상당로13번길 15,충청북도 청주시 상당구 남문로1가154,임의신고,043-256-3816,한국기독교장로회충북노회유지재단,식품및생활용품,이건희,1,2024-12-16,5710000,충청북도 청주시
천사푸드뱅크,푸드뱅크,경기도,동두천시,경기도 동두천시 광암로6번길 2,경기도 동두천시 광암동 518-1,당연신고,031-865-4577,경기도 동두천시 복지정책과,,공지태,3,2024-12-13,3920000,경기도 동두천시
행복마당 푸드마켓,푸드마켓,대구광역시,서구,대구광역시 서구 국채보상로 399,대구광역시 서구 비산동 399-34,,053-262-1377,서구제일종합사회복지관,,박진필,20,2024-12-12,3430000,대구광역시 서구
구로구푸드뱅크마켓센터,푸드뱅크+푸드마켓,서울특별시,구로구,서울특별시 구로구 구로동로50길 10 구로2동 자치회관,서울특별시 구로동 494-20 자치회관1층 푸드마켓,당연신고,02-3283-1377,구로구사회복지협의회,가공식품+신선식품+생활용품,김한기,3,2024-12-09,3160000,서울특별시 구로구
하남시푸드뱅크,푸드뱅크,경기도,하남시,경기도 하남시 덕풍로81번길 18,경기도 하남시 덕풍동 220-7,당연신고,031-793-6920,하남시사회복지협의회,,,7,2024-11-28,4040000,경기도 하남시
순천시푸드뱅크,푸드뱅크,전라남도,순천시,전라남도 순천시 저전길 84,,당연신고,061-741-3062,순천종합사회복지관,"식료품, 생활용품 등",허규만,1,2024-12-03,4820000,전라남도 순천시
순천시푸드마켓,푸드뱅크,전라남도,순천시,전라남도 순천시 우석길 130,,임의신고,061-746-8206,순천시사회복지협의회,"식료품, 생활용품 등",허규만,1,2024-12-03,4820000,전라남도 순천시
양양 푸드뱅크,푸드뱅크,강원특별자치도,양양군,강원특별자치도 양양군 강현면 일출로 42,,,,양양지역자활센터,,,,2024-11-26,4351000,강원특별자치도 양양군
사하사랑나눔푸드마켓,푸드마켓,부산광역시,사하구,"부산광역시 사하구 다대로 544, 204호(다대동, 진요빌딩 2층)",부산광역시 사하구 다대동 1074,당연신고,051-262-1377,두송종합사회복지관,"식품, 생필품 등",김동현,5,2024-11-25,3340000,부산광역시 사하구
부산사하기초푸드뱅크,푸드뱅크,부산광역시,사하구,"부산광역시 사하구 다송로 59(다대동, 두송종합사회복지관 내)",부산광역시 사하구 다대동 96-1,당연신고,051-265-9471,두송종합사회복지관,"식품, 생필품 등",김동현,3,2024-11-25,3340000,부산광역시 사하구
인제군 기초푸드뱅크,푸드뱅크,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 비봉로 48 인제군 농특산물판매장 2층,강원특별자치도 인제군 인제읍 상동리 430,당연신고,033-463-1377,인제군사회복지협의회,가공식품+신선식품,김인중,10,2024-12-13,4331000,강원특별자치도 인제군
진주푸드마켓 및 뱅크,푸드뱅크,경상남도,진주시,경상남도 진주시 서장대로 281(이현동),경상남도 진주시 이현동 13-30,당연신고,055-747-1377,진주시사회복지협의회,식품,김기호,2,2024-12-13,5310000,경상남도 진주시
진주푸드마켓 및 뱅크,푸드마켓,경상남도,진주시,경상남도 진주시 서장대로 281(이현동),경상남도 진주시 이현동 13-30,임의신고,055-747-1377,진주시사회복지협의회,식품,김기호,2,2024-12-13,5310000,경상남도 진주시
보성기초푸드뱅크,푸드뱅크,전라남도,보성군,,전라남도 보성군 보성읍 보성리 230-12,임의신고,061-852-9845,보성종합사회복지관,,김진문,,2024-12-12,4890000,전라남도 보성군
덕양행신기초푸드뱅크,푸드뱅크,경기도,고양시,경기도 고양시 덕양구 서정마을2로 13,,,031-839-6000,덕양행신종합사회복지관,,,,2025-02-13,3940000,경기도 고양시
문촌7기초푸드뱅크,푸드뱅크,경기도,고양시,경기도 고양시 일산서구 킨텍스로 340,,,031-916-4071,문촌7종합사회복지관,,,,2025-02-13,3940000,경기도 고양시
흰돌기초푸드뱅크마켓센터,푸드마켓,경기도,고양시,경기도 고양시 일산동구 호수로446번길 55,,,031-902-1377,흰돌종합사회복지관,,,,2025-02-13,3940000,경기도 고양시
노원구 푸드뱅크마켓센터,푸드뱅크,서울특별시,노원구,서울특별시 노원구 동일로 1229,서울특별시 노원구 중계동 507-3,당연신고,02-975-1277,노원교육복지재단,가공식품+신선식품,서영진,4,2025-01-13,3100000,서울특별시 노원구
